"gbifID" "abstract" "accessRights" "accrualMethod" "accrualPeriodicity" "accrualPolicy" "alternative" "audience" "available" "bibliographicCitation" "conformsTo" "contributor" "coverage" "created" "creator" "date" "dateAccepted" "dateCopyrighted" "dateSubmitted" "description" "educationLevel" "extent" "format" "hasFormat" "hasPart" "hasVersion" "identifier" "instructionalMethod" "isFormatOf" "isPartOf" "isReferencedBy" "isReplacedBy" "isRequiredBy" "isVersionOf" "issued" "language" "license" "mediator" "medium" "modified" "provenance" "publisher" "references" "relation" "replaces" "requires" "rights" "rightsHolder" "source" "spatial" "subject" "tableOfContents" "temporal" "title" "type" "valid" "institutionID" "collectionID" "datasetID" "institutionCode" "collectionCode" "datasetName" "ownerInstitutionCode" "basisOfRecord" "informationWithheld" "dataGeneralizations" "dynamicProperties" "occurrenceID" "catalogNumber" "recordNumber" "recordedBy" "individualCount" "organismQuantity" "organismQuantityType" "sex" "lifeStage" "reproductiveCondition" "behavior" "establishmentMeans" "occurrenceStatus" "preparations" "disposition" "associatedReferences" "associatedSequences" "associatedTaxa" "otherCatalogNumbers" "occurrenceRemarks" "organismID" "organismName" "organismScope" "associatedOccurrences" "associatedOrganisms" "previousIdentifications" "organismRemarks" "materialSampleID" "eventID" "parentEventID" "fieldNumber" "eventDate" "eventTime" "startDayOfYear" "endDayOfYear" "year" "month" "day" "verbatimEventDate" "habitat" "samplingProtocol" "samplingEffort" "sampleSizeValue" "sampleSizeUnit" "fieldNotes" "eventRemarks" "locationID" "higherGeographyID" "higherGeography" "continent" "waterBody" "islandGroup" "island" "countryCode" "stateProvince" "county" "municipality" "locality" "verbatimLocality" "verbatimElevation" "verbatimDepth" "minimumDistanceAboveSurfaceInMeters" "maximumDistanceAboveSurfaceInMeters" "locationAccordingTo" "locationRemarks" "decimalLatitude" "decimalLongitude" "coordinateUncertaintyInMeters" "coordinatePrecision" "pointRadiusSpatialFit" "verbatimCoordinateSystem" "verbatimSRS" "footprintWKT" "footprintSRS" "footprintSpatialFit" "georeferencedBy" "georeferencedDate" "georeferenceProtocol" "georeferenceSources" "georeferenceVerificationStatus" "georeferenceRemarks" "geologicalContextID" "earliestEonOrLowestEonothem" "latestEonOrHighestEonothem" "earliestEraOrLowestErathem" "latestEraOrHighestErathem" "earliestPeriodOrLowestSystem" "latestPeriodOrHighestSystem" "earliestEpochOrLowestSeries" "latestEpochOrHighestSeries" "earliestAgeOrLowestStage" "latestAgeOrHighestStage" "lowestBiostratigraphicZone" "highestBiostratigraphicZone" "lithostratigraphicTerms" "group" "formation" "member" "bed" "identificationID" "identificationQualifier" "typeStatus" "identifiedBy" "dateIdentified" "identificationReferences" "identificationVerificationStatus" "identificationRemarks" "taxonID" "scientificNameID" "acceptedNameUsageID" "parentNameUsageID" "originalNameUsageID" "nameAccordingToID" "namePublishedInID" "taxonConceptID" "scientificName" "acceptedNameUsage" "parentNameUsage" "originalNameUsage" "nameAccordingTo" "namePublishedIn" "namePublishedInYear" "higherClassification" "kingdom" "phylum" "class" "order" "family" "genus" "subgenus" "specificEpithet" "infraspecificEpithet" "taxonRank" "verbatimTaxonRank" "vernacularName" "nomenclaturalCode" "taxonomicStatus" "nomenclaturalStatus" "taxonRemarks" "datasetKey" "publishingCountry" "lastInterpreted" "elevation" "elevationAccuracy" "depth" "depthAccuracy" "distanceAboveSurface" "distanceAboveSurfaceAccuracy" "issue" "mediaType" "hasCoordinate" "hasGeospatialIssues" "taxonKey" "acceptedTaxonKey" "kingdomKey" "phylumKey" "classKey" "orderKey" "familyKey" "genusKey" "subgenusKey" "speciesKey" "species" "genericName" "acceptedScientificName" "typifiedName" "protocol" "lastParsed" "lastCrawled" "repatriated" "coords.x1" "coords.x2" "optional"
"234" 1324453211 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:1282/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:1282/1" "1282/1" "" "B. Kaalaas" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1888-08-02T00:00:00Z" NA NA NA 1888 8 2 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Bremanger" "" "Bakkefjeld ved Rugsund" "" "" "" NA NA NA NA 61.89279 5.39336 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "J. Vana" "" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:25:03.718Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2016-12-07T12:58:07.513Z" "2018-11-25T14:56:34.289Z" "true" 310500.1505839 6867500.36436051 TRUE
"235" 1324451653 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:4991/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:4991/1" "4991/1" "" "Per Størmer" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1959-07-27T00:00:00Z" NA NA NA 1959 7 27 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Buskerud" "Hurum" "" "Elgeton" "" "" "" NA NA NA NA 59.61384 10.60396 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Per Størmer, Kristian Hassel" "1959-07-27T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:28:44.417Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-07T12:58:13.708Z" "2018-11-25T14:56:25.359Z" "true" 590499.959952837 6609499.54854516 TRUE
"236" 1324451605 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:4983/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-20T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:4983/1" "4983/1" "" "E. Ryan" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1890-05-10T00:00:00Z" NA NA NA 1890 5 10 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Østfold" "Fredrikstad" "" "Onsøy, Aale" "" "" "" NA NA NA NA 59.21384 10.89435 1101 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "E. Ryan, Kristian Hassel" "1890-05-10T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:28:44.424Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-07T12:58:26.573Z" "2018-11-25T14:56:37.055Z" "true" 608149.826725973 6565399.75302967 TRUE
"237" 1324451479 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:4992/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:4992/1" "4992/1" "" "I. Hagen" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1913-05-12T00:00:00Z" NA NA NA 1913 5 12 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Trondheim" "" "Strinda, Selebak" "" "" "" NA NA NA NA 63.38753 10.37063 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "I. Hagen, Kristian Hassel" "1913-05-12T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:28:44.433Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-07T12:58:20.793Z" "2018-11-25T14:56:34.271Z" "true" 568500.083919553 7029500.43869885 TRUE
"238" 1324451194 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:1275/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-20T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:1275/1" "1275/1" "" "Per Størmer" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1949-08-24T00:00:00Z" NA NA NA 1949 8 24 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Bremanger" "" "Davik: Førde" "" "" "" NA NA NA NA 61.81746 5.61119 37759 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Per Størmer, J. Vana" "1949-08-24T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:25:03.795Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2016-12-07T12:58:22.013Z" "2018-11-25T14:56:39.490Z" "true" 321499.959975359 6858500.20693756 TRUE
"239" 1324450528 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:12064/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-20T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:12064/1" "12064/1" "" "E. Nyman" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1890-08-16T00:00:00Z" NA NA NA 1890 8 16 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Rogaland" "Gjesdal" "" "Frafjord" "" "" "" NA NA NA NA 58.84569 6.30499 1803 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "A. C. Crundwell, Geir Løe, Kristian Hassel" "2005-05-30T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:29:39.803Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2016-12-07T12:57:55.658Z" "2018-11-25T14:56:26.982Z" "true" 344499.890090149 6526000.2797545 TRUE
"240" 1324450145 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:12071/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:12071/1" "12071/1" "" "B. Kaalaas" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1900-08-02T00:00:00Z" NA NA NA 1900 8 2 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Luster" "" "In valle Mørkreisdalen, parvechid Lyster in Sogn," "" "" "" NA NA NA NA 61.53786 7.59873 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Lars Söderström, Kristian Hassel" "2005-05-30T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:29:39.801Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2016-12-07T12:58:13.420Z" "2018-11-25T14:56:34.170Z" "true" 425500.04204935 6823499.99562295 TRUE
"241" 1324449704 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:12068/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-20T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:12068/1" "12068/1" "" "B. Kaalaas" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1900-08-02T00:00:00Z" NA NA NA 1900 8 2 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Luster" "" "Ved Drivandefossen i Mørkreisdalen i Lyster, Sogn" "" "" "" NA NA NA NA 61.53786 7.59873 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Lars Söderström, Kristian Hassel" "2005-05-30T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:29:39.802Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2016-12-07T12:57:55.655Z" "2018-11-25T14:56:34.160Z" "true" 425500.04204935 6823499.99562295 TRUE
"242" 1324449689 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:1287/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:1287/1" "1287/1" "" "E. Jørgensen" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1925-07-10T00:00:00Z" NA NA NA 1925 7 10 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Eid" "" "Mørkesetfjell" "" "" "" NA NA NA NA 61.89863 5.81172 1803 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "E. Jørgensen, J. Vana" "1925-07-10T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:25:04.313Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2016-12-07T12:57:52.250Z" "2018-11-25T14:56:26.173Z" "true" 332500.073078194 6867000.0136654 TRUE
"243" 1324447566 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:12066/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:12066/1" "12066/1" "" "B. Kaalaas" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1900-08-02T00:00:00Z" NA NA NA 1900 8 2 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Luster" "" "Ved Drivandefossen i Mørkreisdalen i Lyster, Sogn," "" "" "" NA NA NA NA 61.53786 7.59873 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Lars Söderström, Kristian Hassel" "2005-05-30T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:29:39.787Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2016-12-07T12:58:26.541Z" "2018-11-25T14:56:39.794Z" "true" 425500.04204935 6823499.99562295 TRUE
"244" 1324447228 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:1279/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-20T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:1279/1" "1279/1" "" "Per Størmer" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1949-08-24T00:00:00Z" NA NA NA 1949 8 24 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Bremanger" "" "Davik: Førde, på Calluna-mark ved foss" "" "" "" NA NA NA NA 61.81746 5.61119 37759 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Per Størmer" "1949-08-24T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:25:04.251Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2016-12-07T12:58:12.140Z" "2018-11-25T14:56:26.153Z" "true" 321499.959975359 6858500.20693756 TRUE
"245" 1324446836 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:4987/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:4987/1" "4987/1" "" "Anon" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1884-10-26T00:00:00Z" NA NA NA 1884 10 26 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Oslo fylke" "Oslo" "" "Frogner" "" "" "" NA NA NA NA 59.92239 10.70828 1803 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Per Størmer, Kristian Hassel" "" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:28:44.421Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-07T12:57:50.638Z" "2018-11-25T14:56:37.050Z" "true" 595499.946113023 6644000.09966906 TRUE
"246" 1324446829 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:4651/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-15T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:4651/1" "4651/1" "" "F. Kiær" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1878-07-26T00:00:00Z" NA NA NA 1878 7 26 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Oppdal" "" "Strax nordenfor og litt høiere end Kongsvold" "" "" "" NA NA NA NA 62.30674 9.60753 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2004-11-29T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Tortula laureri Lindberg, 1864" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Pottiales" "Pottiaceae" "Tortula" NA "laureri" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-06T23:34:01.803Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5280585 5280585 6 35 327 621 4671 9549878 NA 5280585 "Tortula laureri" "Tortula" "Tortula laureri Lindberg, 1864" "" "DWC_ARCHIVE" "2016-12-07T12:58:12.412Z" "2018-11-25T14:56:39.131Z" "true" 531500.057780242 6908499.92816394 TRUE
