x,y,species logistic values
108.0,108.0,2.07678E-7
109.0,109.0,3.5994924E-7
110.0,110.0,1.5091065E-7
111.0,111.0,3.7813925E-7
112.0,112.0,1.5813373E-31
113.0,113.0,0.0016729648
114.0,114.0,8.514368E-4
115.0,115.0,9.458327E-7
116.0,116.0,8.207547E-15
117.0,117.0,2.529853E-17
118.0,118.0,9.303939E-9
119.0,119.0,2.0292855E-13
120.0,120.0,4.251486E-9
121.0,121.0,3.9462676E-17
122.0,122.0,1.8799604E-20
123.0,123.0,5.4826547E-8
124.0,124.0,1.5852136E-7
125.0,125.0,2.6951264E-7
126.0,126.0,1.9891368E-14
127.0,127.0,4.2822376E-7
128.0,128.0,9.3325356E-17
129.0,129.0,1.0354732E-12
130.0,130.0,6.993445E-6
131.0,131.0,2.4710946E-6
132.0,132.0,5.7595145E-15
133.0,133.0,5.0445876E-32
134.0,134.0,4.315743E-11
135.0,135.0,2.6789317E-7
136.0,136.0,2.8036526E-16
137.0,137.0,3.732972E-13
138.0,138.0,1.1092613E-6
139.0,139.0,1.5396463E-5
140.0,140.0,0.0
141.0,141.0,0.0020399066
142.0,142.0,0.0053358898
143.0,143.0,5.1207847E-11
144.0,144.0,1.8699302E-8
145.0,145.0,0.20220716
146.0,146.0,5.6710636E-11
147.0,147.0,3.6079517E-16
148.0,148.0,1.4426904E-14
149.0,149.0,4.539336E-12
150.0,150.0,2.544077E-6
151.0,151.0,1.5291924E-6
152.0,152.0,1.673477E-11
153.0,153.0,2.8946344E-5
154.0,154.0,3.975546E-12
155.0,155.0,6.1916267E-6
156.0,156.0,2.9263984E-31
157.0,157.0,7.4050917E-9
158.0,158.0,3.7778623E-8
159.0,159.0,5.4150986E-16
160.0,160.0,0.0011641212
161.0,161.0,4.4437138E-7
162.0,162.0,4.7927615E-4
163.0,163.0,2.297978E-6
164.0,164.0,1.9311708E-8
165.0,165.0,1.0838382E-6
166.0,166.0,0.0
167.0,167.0,1.8077795E-8
168.0,168.0,2.1386933E-12
169.0,169.0,1.4700822E-7
170.0,170.0,2.7879464E-14
171.0,171.0,5.2981247E-13
172.0,172.0,5.008175E-6
173.0,173.0,1.1133416E-6
174.0,174.0,1.2994949E-4
175.0,175.0,5.3755633E-5
176.0,176.0,1.1210742E-6
177.0,177.0,3.255968E-11
178.0,178.0,7.018388E-8
179.0,179.0,4.9863046E-23
180.0,180.0,4.258466E-6
181.0,181.0,1.1254176E-4
182.0,182.0,4.1871E-14
183.0,183.0,6.8070617E-6
184.0,184.0,1.6280657E-6
185.0,185.0,5.7100425E-7
186.0,186.0,1.05375E-6
187.0,187.0,2.386568E-11
188.0,188.0,5.9530776E-6
189.0,189.0,1.8785865E-7
190.0,190.0,1.358745E-8
191.0,191.0,1.4430283E-6
192.0,192.0,4.9644463E-13
193.0,193.0,2.8510583E-5
194.0,194.0,0.0075881686
195.0,195.0,3.112652E-6
196.0,196.0,2.5890522E-11
197.0,197.0,2.48817E-5
198.0,198.0,0.004932144
199.0,199.0,3.0629378E-4
200.0,200.0,5.9421927E-5
201.0,201.0,2.8526772E-5
202.0,202.0,3.4398485E-13
203.0,203.0,1.3139852E-8
204.0,204.0,8.771796E-12
205.0,205.0,9.486513E-6
206.0,206.0,7.242915E-9
207.0,207.0,1.2507761E-6
208.0,208.0,1.0343357E-7
209.0,209.0,9.294043E-9
210.0,210.0,2.9331332E-4
211.0,211.0,4.770478E-36
212.0,212.0,8.2388695E-5
213.0,213.0,5.1587403E-30
214.0,214.0,1.06744515E-8
215.0,215.0,7.9335087E-22
216.0,216.0,0.030593565
217.0,217.0,4.723935E-13
218.0,218.0,1.5458628E-6
219.0,219.0,1.9053443E-9
220.0,220.0,3.2274092E-12
221.0,221.0,2.123032E-16
222.0,222.0,1.0539964E-6
223.0,223.0,2.4141455E-6
224.0,224.0,4.761483E-6
225.0,225.0,2.1689666E-5
226.0,226.0,5.9351225E-7
227.0,227.0,4.0410848E-7
228.0,228.0,0.0015927287
229.0,229.0,1.7245736E-11
230.0,230.0,4.0253246E-38
231.0,231.0,1.5412345E-11
232.0,232.0,6.497354E-7
233.0,233.0,1.4390895E-6
234.0,234.0,2.394911E-15
235.0,235.0,2.1947425E-14
236.0,236.0,1.5417796E-5
237.0,237.0,1.2347038E-11
238.0,238.0,0.019223865
239.0,239.0,7.3625563E-7
240.0,240.0,2.7733436E-9
241.0,241.0,2.586712E-4
242.0,242.0,2.2283841E-6
243.0,243.0,7.8931134E-7
244.0,244.0,7.417397E-9
245.0,245.0,8.8212055E-6
246.0,246.0,2.3585544E-6
247.0,247.0,4.3460377E-6
248.0,248.0,7.51102E-13
249.0,249.0,1.8954795E-10
250.0,250.0,1.5345958E-14
251.0,251.0,8.4548955E-9
252.0,252.0,3.3226556E-8
253.0,253.0,6.569679E-4
254.0,254.0,5.9971494E-13
255.0,255.0,6.312037E-6
256.0,256.0,9.102396E-10
257.0,257.0,1.138602E-29
258.0,258.0,1.2614773E-8
259.0,259.0,3.3427184E-6
260.0,260.0,2.5320655E-12
261.0,261.0,1.9152615E-8
262.0,262.0,6.758626E-6
263.0,263.0,0.28172654
264.0,264.0,4.356104E-34
265.0,265.0,0.004263345
266.0,266.0,1.6556984E-13
267.0,267.0,9.471269E-8
268.0,268.0,0.020550888
269.0,269.0,6.6682246E-12
270.0,270.0,1.6009953E-7
271.0,271.0,2.2275375E-4
272.0,272.0,8.513931E-17
273.0,273.0,0.0
274.0,274.0,1.4709198E-10
275.0,275.0,6.111073E-22
276.0,276.0,7.834801E-6
277.0,277.0,0.0028663403
278.0,278.0,1.504077E-10
279.0,279.0,2.2044178E-10
280.0,280.0,6.614192E-9
281.0,281.0,4.788247E-10
282.0,282.0,1.7209907E-6
283.0,283.0,1.0769619E-7
284.0,284.0,2.3425634E-12
285.0,285.0,2.7623264E-5
286.0,286.0,1.0065754E-5
287.0,287.0,1.8000402E-7
288.0,288.0,2.2295337E-6
289.0,289.0,1.0399886E-4
290.0,290.0,6.6009227E-7
291.0,291.0,9.8734934E-5
292.0,292.0,0.0021135437
293.0,293.0,4.8980404E-8
294.0,294.0,8.423512E-11
295.0,295.0,6.0711124E-12
296.0,296.0,3.275331E-6
297.0,297.0,3.342948E-7
298.0,298.0,7.8744786E-5
299.0,299.0,0.0035596604
300.0,300.0,6.6765156E-14
301.0,301.0,4.8466375E-17
302.0,302.0,3.2350546E-11
303.0,303.0,2.5950916E-17
304.0,304.0,1.042184E-10
305.0,305.0,1.3759748E-11
306.0,306.0,3.4945802E-10
307.0,307.0,7.6857235E-32
308.0,308.0,6.787148E-14
309.0,309.0,1.2907733E-5
310.0,310.0,5.0479407E-6
311.0,311.0,4.4944028E-7
312.0,312.0,1.3499636E-7
313.0,313.0,2.1639154E-7
314.0,314.0,7.504994E-8
315.0,315.0,3.2875061E-12
316.0,316.0,2.6429267E-5
317.0,317.0,5.255821E-13
318.0,318.0,1.0928554E-5
319.0,319.0,1.9057705E-19
320.0,320.0,1.5803105E-15
321.0,321.0,1.1749742E-5
322.0,322.0,2.8852554E-8
323.0,323.0,3.1153802E-4
324.0,324.0,5.7033873E-8
325.0,325.0,2.8648662E-6
326.0,326.0,5.509646E-6
327.0,327.0,3.0820946E-9
328.0,328.0,9.645068E-10
329.0,329.0,1.0663309E-14
330.0,330.0,1.7313227E-10
331.0,331.0,4.235291E-6
332.0,332.0,4.4015504E-24
333.0,333.0,2.335822E-35
334.0,334.0,2.372558E-11
335.0,335.0,1.0928724E-12
336.0,336.0,1.4836219E-5
337.0,337.0,4.1438145E-11
338.0,338.0,1.16083E-13
339.0,339.0,3.4897945E-5
340.0,340.0,4.7460054E-9
341.0,341.0,5.6260187E-12
342.0,342.0,1.1041844E-7
343.0,343.0,1.8369343E-12
344.0,344.0,1.9005724E-13
345.0,345.0,1.0762064E-4
346.0,346.0,2.5428548E-12
347.0,347.0,6.8797507E-12
348.0,348.0,4.370484E-9
349.0,349.0,1.6661994E-15
350.0,350.0,3.8271228E-8
351.0,351.0,2.52805E-10
352.0,352.0,1.5908979E-8
353.0,353.0,2.824773E-9
354.0,354.0,8.255773E-12
355.0,355.0,6.6830284E-17
356.0,356.0,6.003436E-7
357.0,357.0,9.102658E-5
358.0,358.0,1.8927267E-23
359.0,359.0,1.0911202E-7
360.0,360.0,3.3125898E-9
361.0,361.0,7.699207E-13
362.0,362.0,6.844397E-9
363.0,363.0,1.947103E-5
364.0,364.0,1.2524705E-23
365.0,365.0,6.7757114E-8
366.0,366.0,7.681377E-11
367.0,367.0,3.6704854E-12
368.0,368.0,8.6672863E-10
369.0,369.0,3.3611613E-10
370.0,370.0,2.6154735E-6
371.0,371.0,1.2842593E-29
372.0,372.0,7.888091E-13
373.0,373.0,2.2391653E-7
374.0,374.0,3.4617426E-6
375.0,375.0,5.1152815E-12
376.0,376.0,3.548008E-11
377.0,377.0,3.0175562E-16
378.0,378.0,6.0019904E-4
379.0,379.0,9.946817E-6
380.0,380.0,2.6220256E-5
381.0,381.0,0.0031476154
382.0,382.0,9.92352E-8
383.0,383.0,7.0464153E-13
384.0,384.0,1.1846726E-7
385.0,385.0,1.934297E-6
386.0,386.0,3.9878438E-4
387.0,387.0,3.8632643E-5
388.0,388.0,2.4077042E-6
389.0,389.0,0.006741631
390.0,390.0,3.0418918E-15
391.0,391.0,4.977512E-12
392.0,392.0,7.340576E-6
393.0,393.0,7.598577E-6
394.0,394.0,4.868664E-13
395.0,395.0,5.707198E-4
396.0,396.0,1.3836975E-6
397.0,397.0,5.5925655E-14
398.0,398.0,0.0068800403
399.0,399.0,0.0034771394
400.0,400.0,4.213519E-9
401.0,401.0,1.00064874E-13
402.0,402.0,3.6201238E-9
403.0,403.0,1.0036388E-9
404.0,404.0,6.560692E-4
405.0,405.0,2.7295769E-6
406.0,406.0,3.6660012E-7
407.0,407.0,1.7954519E-6
408.0,408.0,2.8074058E-7
409.0,409.0,7.288337E-13
410.0,410.0,6.577183E-8
411.0,411.0,7.860056E-6
412.0,412.0,0.016247343
413.0,413.0,1.0393087E-4
414.0,414.0,2.6416572E-4
415.0,415.0,1.468348E-9
416.0,416.0,9.523176E-33
417.0,417.0,2.1520206E-8
418.0,418.0,6.5414656E-6
419.0,419.0,3.4504943E-9
420.0,420.0,1.4602412E-31
421.0,421.0,7.376572E-6
422.0,422.0,9.419797E-14
423.0,423.0,1.1626929E-7
424.0,424.0,2.3499413E-6
425.0,425.0,1.1662712E-12
426.0,426.0,2.689933E-7
427.0,427.0,0.005818812
428.0,428.0,2.0141996E-10
429.0,429.0,1.408391E-6
430.0,430.0,2.7720114E-11
431.0,431.0,1.4548162E-5
432.0,432.0,6.5099315E-12
433.0,433.0,1.7760261E-6
434.0,434.0,1.5628956E-4
435.0,435.0,4.088222E-6
436.0,436.0,1.1854752E-10
437.0,437.0,1.5608252E-6
438.0,438.0,1.5357364E-7
439.0,439.0,3.8565E-11
440.0,440.0,6.724629E-5
441.0,441.0,1.5222857E-12
442.0,442.0,2.461136E-8
443.0,443.0,1.7385375E-25
444.0,444.0,1.858225E-10
445.0,445.0,1.0485874E-5
446.0,446.0,4.120033E-17
447.0,447.0,4.348797E-9
448.0,448.0,4.1209383E-8
449.0,449.0,3.1634206E-9
450.0,450.0,3.863323E-6
451.0,451.0,1.1686498E-4
452.0,452.0,1.0634177E-9
453.0,453.0,1.7310198E-10
454.0,454.0,1.6369316E-7
455.0,455.0,1.6204459E-7
456.0,456.0,2.656962E-11
457.0,457.0,0.02715758
458.0,458.0,4.7137186E-12
459.0,459.0,1.2432707E-6
460.0,460.0,2.4514787E-8
461.0,461.0,3.4444572E-10
462.0,462.0,8.954319E-9
463.0,463.0,2.0031473E-13
464.0,464.0,5.3349485E-8
465.0,465.0,1.3798527E-7
466.0,466.0,7.618946E-14
467.0,467.0,1.4885993E-22
468.0,468.0,7.842515E-12
469.0,469.0,1.8404467E-6
470.0,470.0,6.845236E-9
471.0,471.0,4.6257362E-8
472.0,472.0,7.017361E-16
473.0,473.0,0.75083125
474.0,474.0,2.5890951E-5
475.0,475.0,0.04208846
476.0,476.0,4.8740558E-20
477.0,477.0,3.8241646E-11
478.0,478.0,9.637433E-4
479.0,479.0,3.0763915E-6
480.0,480.0,3.4759485E-6
481.0,481.0,1.4542105E-7
482.0,482.0,3.664215E-9
483.0,483.0,8.9405365E-11
484.0,484.0,1.5322226E-7
485.0,485.0,8.044025E-7
486.0,486.0,6.379995E-12
487.0,487.0,9.216421E-8
488.0,488.0,1.369778E-6
489.0,489.0,2.4907925E-4
490.0,490.0,4.6012227E-10
491.0,491.0,2.0292805E-7
492.0,492.0,7.259773E-7
493.0,493.0,1.1143559E-8
494.0,494.0,7.1473524E-22
495.0,495.0,6.3922634E-8
496.0,496.0,3.1327057E-13
497.0,497.0,1.6789171E-6
498.0,498.0,1.035124E-15
499.0,499.0,2.225975E-28
500.0,500.0,6.808567E-7
501.0,501.0,1.0317081E-5
502.0,502.0,2.1152516E-23
503.0,503.0,5.6241693E-6
504.0,504.0,2.9770164E-5
505.0,505.0,0.004027496
506.0,506.0,1.2925354E-10
507.0,507.0,1.4759911E-7
508.0,508.0,2.2009064E-7
509.0,509.0,0.0012113623
510.0,510.0,1.4403999E-11
511.0,511.0,1.360741E-13
512.0,512.0,7.3856157E-9
513.0,513.0,0.13103236
514.0,514.0,4.3426703E-12
515.0,515.0,5.441971E-11
516.0,516.0,8.5319385E-8
517.0,517.0,7.23202E-19
518.0,518.0,4.1138795E-10
519.0,519.0,5.9553393E-13
520.0,520.0,1.2399852E-5
521.0,521.0,3.292684E-16
522.0,522.0,1.0987156E-12
523.0,523.0,9.4190716E-7
524.0,524.0,1.2605998E-5
525.0,525.0,3.9101624E-7
526.0,526.0,1.5E-43
527.0,527.0,1.2030297E-7
528.0,528.0,3.281767E-6
529.0,529.0,6.857641E-8
530.0,530.0,1.2898236E-7
531.0,531.0,1.0368862E-9
532.0,532.0,1.8252927E-11
533.0,533.0,9.4766905E-9
534.0,534.0,0.0028488052
535.0,535.0,7.352748E-8
536.0,536.0,4.577484E-22
537.0,537.0,6.775629E-12
538.0,538.0,1.0167587E-6
539.0,539.0,1.2991707E-6
540.0,540.0,1.0001871E-5
541.0,541.0,2.6454961E-11
542.0,542.0,6.664636E-8
543.0,543.0,1.8627015E-13
544.0,544.0,5.203927E-9
545.0,545.0,6.564001E-6
546.0,546.0,2.7885767E-12
547.0,547.0,1.2621918E-4
548.0,548.0,1.4394557E-8
549.0,549.0,1.2973208E-9
550.0,550.0,2.3357447E-6
551.0,551.0,2.4694473E-6
552.0,552.0,1.3516326E-11
553.0,553.0,1.9386184E-9
554.0,554.0,0.021536004
555.0,555.0,1.2518288E-16
556.0,556.0,5.0129835E-12
557.0,557.0,0.0013248089
558.0,558.0,6.231479E-14
559.0,559.0,1.0897981E-10
560.0,560.0,4.565581E-9
561.0,561.0,4.5507825E-12
562.0,562.0,5.996137E-14
563.0,563.0,2.5772977E-7
564.0,564.0,3.5223433E-9
565.0,565.0,1.8844245E-8
566.0,566.0,2.535411E-5
567.0,567.0,1.1063377E-12
568.0,568.0,1.0497417E-6
569.0,569.0,1.8578145E-12
570.0,570.0,7.152918E-5
571.0,571.0,1.5958219E-7
572.0,572.0,2.0523496E-6
573.0,573.0,8.065826E-9
574.0,574.0,1.3008668E-5
575.0,575.0,1.5475177E-6
576.0,576.0,6.1675166E-8
577.0,577.0,2.6532737E-7
578.0,578.0,2.1432698E-17
579.0,579.0,2.5266354E-6
580.0,580.0,2.3759206E-12
581.0,581.0,0.008904762
582.0,582.0,1.1580055E-4
583.0,583.0,6.8932007E-9
584.0,584.0,3.1118542E-11
585.0,585.0,1.4182751E-11
586.0,586.0,6.1547457E-6
587.0,587.0,2.5261768E-10
588.0,588.0,1.1390873E-5
589.0,589.0,1.3002631E-8
590.0,590.0,6.500592E-9
591.0,591.0,2.4411816E-11
592.0,592.0,5.7428724E-9
593.0,593.0,4.7769396E-11
594.0,594.0,1.9264343E-8
595.0,595.0,0.09378409
596.0,596.0,3.7164492E-7
597.0,597.0,4.8294855E-6
598.0,598.0,4.4578776E-8
599.0,599.0,1.2042776E-7
600.0,600.0,7.671697E-8
601.0,601.0,3.1519387E-24
602.0,602.0,1.3449165E-16
603.0,603.0,2.3816572E-6
604.0,604.0,0.0023550603
605.0,605.0,2.5082434E-7
606.0,606.0,1.4065986E-8
607.0,607.0,3.9591308E-12
608.0,608.0,2.561067E-19
609.0,609.0,1.9362762E-5
610.0,610.0,1.16843965E-11
611.0,611.0,6.367532E-9
612.0,612.0,8.897726E-15
613.0,613.0,8.074107E-7
614.0,614.0,1.319467E-7
615.0,615.0,3.1833913E-8
616.0,616.0,2.0780784E-5
617.0,617.0,1.0291187E-28
618.0,618.0,4.332341E-6
619.0,619.0,4.813735E-14
620.0,620.0,1.8402902E-13
621.0,621.0,3.8654173E-9
622.0,622.0,3.3871972E-10
623.0,623.0,9.731982E-13
624.0,624.0,6.9735585E-11
625.0,625.0,0.0049689994
626.0,626.0,8.574974E-12
627.0,627.0,2.1370946E-4
628.0,628.0,3.9772547E-7
629.0,629.0,3.068833E-10
630.0,630.0,2.317185E-5
631.0,631.0,0.43192834
632.0,632.0,1.1189707E-8
633.0,633.0,6.3518555E-6
634.0,634.0,1.990836E-12
635.0,635.0,2.9558341E-15
636.0,636.0,0.0
637.0,637.0,6.419791E-8
638.0,638.0,1.5740264E-9
639.0,639.0,6.481362E-10
640.0,640.0,5.864262E-16
641.0,641.0,5.2348266E-8
642.0,642.0,1.3533052E-6
643.0,643.0,0.059456196
644.0,644.0,3.4130159E-9
645.0,645.0,9.948104E-4
646.0,646.0,9.2380825E-10
647.0,647.0,2.2528113E-7
648.0,648.0,3.4004815E-6
649.0,649.0,1.592984E-11
650.0,650.0,3.166424E-17
651.0,651.0,3.973494E-8
652.0,652.0,1.3095536E-12
653.0,653.0,3.5152986E-28
654.0,654.0,4.8560014E-6
655.0,655.0,7.00023E-5
656.0,656.0,1.1724954E-6
657.0,657.0,9.708814E-7
658.0,658.0,3.1833858E-12
659.0,659.0,1.1892179E-6
660.0,660.0,4.461618E-7
661.0,661.0,2.3037035E-12
662.0,662.0,2.0161774E-6
663.0,663.0,1.3805816E-13
664.0,664.0,5.9363424E-6
665.0,665.0,2.7261273E-25
666.0,666.0,2.4219338E-7
667.0,667.0,9.074294E-15
668.0,668.0,0.0020783434
669.0,669.0,8.2884117E-7
670.0,670.0,3.751E-42
671.0,671.0,8.669618E-10
672.0,672.0,6.4835116E-11
673.0,673.0,9.965728E-7
674.0,674.0,1.0593492E-6
675.0,675.0,7.9823934E-29
676.0,676.0,4.103905E-7
677.0,677.0,1.5906724E-36
678.0,678.0,1.8552053E-7
679.0,679.0,1.6244953E-10
680.0,680.0,5.0604185E-6
681.0,681.0,1.588998E-12
682.0,682.0,7.240953E-13
683.0,683.0,4.4843023E-9
684.0,684.0,1.8411741E-9
685.0,685.0,1.6749583E-8
686.0,686.0,2.6863555E-30
687.0,687.0,1.4140995E-12
688.0,688.0,6.2593754E-12
689.0,689.0,0.012623929
690.0,690.0,3.0664613E-15
691.0,691.0,1.6988848E-7
692.0,692.0,5.1540205E-8
693.0,693.0,4.3274106E-8
694.0,694.0,4.959739E-8
695.0,695.0,8.0236234E-8
696.0,696.0,4.960849E-6
697.0,697.0,6.149568E-11
698.0,698.0,4.0854803E-13
699.0,699.0,0.0017463813
700.0,700.0,8.433158E-14
701.0,701.0,5.8061173E-12
702.0,702.0,1.5833602E-6
703.0,703.0,9.265224E-9
704.0,704.0,0.10687991
705.0,705.0,7.2088924E-6
706.0,706.0,2.0520642E-10
707.0,707.0,1.0741356E-10
708.0,708.0,6.472717E-5
709.0,709.0,7.926702E-13
710.0,710.0,7.282186E-10
711.0,711.0,4.72067E-10
712.0,712.0,6.3442234E-9
713.0,713.0,2.9476503E-13
714.0,714.0,4.061204E-8
715.0,715.0,0.21963286
716.0,716.0,0.007876534
717.0,717.0,4.8331727E-5
718.0,718.0,3.0602685E-5
719.0,719.0,1.3470922E-11
720.0,720.0,1.5068752E-14
721.0,721.0,5.3589306E-9
722.0,722.0,1.8507045E-18
723.0,723.0,1.4243368E-4
724.0,724.0,3.7154366E-6
725.0,725.0,9.917412E-14
726.0,726.0,0.008462042
727.0,727.0,5.2817885E-8
728.0,728.0,1.6409206E-8
729.0,729.0,0.0045948895
730.0,730.0,2.4471601E-5
731.0,731.0,3.5143146E-4
732.0,732.0,1.317038E-6
733.0,733.0,5.677524E-6
734.0,734.0,1.0428836E-7
735.0,735.0,2.1036688E-34
736.0,736.0,2.5813808E-6
737.0,737.0,2.3955371E-12
738.0,738.0,0.3603941
739.0,739.0,1.090731E-6
740.0,740.0,3.8573107E-12
741.0,741.0,3.43617E-9
742.0,742.0,1.3500744E-7
743.0,743.0,3.5659208E-11
744.0,744.0,2.611964E-15
745.0,745.0,1.810115E-7
746.0,746.0,1.3537947E-9
747.0,747.0,8.7255794E-13
748.0,748.0,1.8218188E-6
749.0,749.0,2.588088E-7
750.0,750.0,5.8058094E-13
751.0,751.0,5.369998E-7
752.0,752.0,5.5608987E-5
753.0,753.0,1.0686568E-8
754.0,754.0,3.5193381E-13
755.0,755.0,5.7444156E-9
756.0,756.0,8.0962925E-9
757.0,757.0,4.2390877E-7
758.0,758.0,1.0084069E-6
759.0,759.0,7.372543E-16
760.0,760.0,0.017693369
761.0,761.0,2.881308E-19
762.0,762.0,4.285261E-7
763.0,763.0,2.5789716E-4
764.0,764.0,9.011544E-7
765.0,765.0,1.3197663E-5
766.0,766.0,1.3384106E-28
767.0,767.0,1.734211E-15
768.0,768.0,0.003925882
769.0,769.0,2.8309435E-9
770.0,770.0,4.472007E-8
771.0,771.0,1.7427135E-14
772.0,772.0,4.270613E-9
773.0,773.0,1.2669573E-8
774.0,774.0,4.1506323E-9
775.0,775.0,4.9142034E-7
776.0,776.0,2.3173663E-10
777.0,777.0,3.9733736E-6
778.0,778.0,3.0117334E-8
779.0,779.0,4.6167296E-11
780.0,780.0,2.069883E-8
781.0,781.0,2.3846496E-5
782.0,782.0,1.5897193E-8
783.0,783.0,1.888653E-8
784.0,784.0,1.2459464E-22
785.0,785.0,3.115285E-11
786.0,786.0,2.662622E-25
787.0,787.0,1.218337E-4
788.0,788.0,1.057182E-7
789.0,789.0,3.893607E-9
790.0,790.0,1.9669813E-10
791.0,791.0,1.1287685E-6
792.0,792.0,7.762651E-6
793.0,793.0,5.4506618E-8
794.0,794.0,8.0431376E-14
795.0,795.0,0.0073088496
796.0,796.0,1.0031916E-12
797.0,797.0,8.552051E-9
798.0,798.0,7.568869E-5
799.0,799.0,8.00793E-9
800.0,800.0,1.2759478E-28
801.0,801.0,2.1678537E-4
802.0,802.0,2.8770877E-14
803.0,803.0,5.5725016E-13
804.0,804.0,1.3461369E-5
805.0,805.0,0.0038262554
806.0,806.0,7.6773426E-7
807.0,807.0,9.962503E-22
808.0,808.0,2.5013867E-5
809.0,809.0,3.909423E-8
810.0,810.0,0.0011570401
811.0,811.0,0.0021976125
812.0,812.0,0.0
813.0,813.0,1.506934E-32
814.0,814.0,2.7557339E-9
815.0,815.0,8.177387E-12
816.0,816.0,1.7138176E-5
817.0,817.0,6.6276255E-11
818.0,818.0,9.353032E-5
819.0,819.0,2.7971178E-6
820.0,820.0,2.1592061E-13
821.0,821.0,3.2099827E-9
822.0,822.0,0.26861033
823.0,823.0,4.1343665E-12
824.0,824.0,9.194797E-18
825.0,825.0,6.4149162E-6
826.0,826.0,0.00692304
827.0,827.0,2.7431664E-8
828.0,828.0,5.0533945E-6
829.0,829.0,1.8894862E-7
830.0,830.0,4.4602228E-5
831.0,831.0,1.5640338E-10
832.0,832.0,6.5545817E-7
833.0,833.0,0.0
834.0,834.0,1.3139077E-10
835.0,835.0,9.3047004E-7
836.0,836.0,2.0199015E-34
837.0,837.0,1.4897693E-13
838.0,838.0,2.3690518E-11
839.0,839.0,6.7191036E-7
840.0,840.0,1.5946146E-4
841.0,841.0,1.1005373E-10
842.0,842.0,2.559444E-13
843.0,843.0,4.0586947E-17
844.0,844.0,1.6270226E-8
845.0,845.0,7.8852884E-7
846.0,846.0,3.1987052E-11
847.0,847.0,5.9363076E-10
848.0,848.0,2.0310556E-4
