"","variables","corTest","AUCtest","species","method","repid"
"roe_deer20158","roe_deer2015",0.5102,0.1146,"Ajuga_reptans","gam",4
"red_deer20158","red_deer2015",0.3154,0.0176,"Ajuga_reptans","gam",4
"moose20158","moose2015",0.5119,0.086,"Ajuga_reptans","gam",4
"bio10_168","bio10_16",0.7057,0.4252,"Ajuga_reptans","gam",4
"bio12_168","bio12_16",0.5195,0.1936,"Ajuga_reptans","gam",4
"Forest_Type8","Forest_Type",0.1966,0.0236,"Ajuga_reptans","gam",4
"Forest_Productivity8","Forest_Productivity",0.2859,0.022,"Ajuga_reptans","gam",4
"SoilpH8","SoilpH",0.2485,0.0166,"Ajuga_reptans","gam",4
"roe_deer20159","roe_deer2015",0.3952,0.1128,"Ajuga_reptans","gam",5
"red_deer20159","red_deer2015",0.3162,0.0348,"Ajuga_reptans","gam",5
"moose20159","moose2015",0.4505,0.057,"Ajuga_reptans","gam",5
"bio10_169","bio10_16",0.6937,0.477,"Ajuga_reptans","gam",5
"bio12_169","bio12_16",0.4073,0.1122,"Ajuga_reptans","gam",5
"Forest_Type9","Forest_Type",0.2222,0.057,"Ajuga_reptans","gam",5
"Forest_Productivity9","Forest_Productivity",0.2497,0.0664,"Ajuga_reptans","gam",5
"SoilpH9","SoilpH",0.1724,0.001,"Ajuga_reptans","gam",5
"roe_deer201510","roe_deer2015",0.0936,0.0186,"Ajuga_reptans","rf",1
"red_deer201510","red_deer2015",0.0954,0.0146,"Ajuga_reptans","rf",1
"moose201510","moose2015",0.1988,0.0812,"Ajuga_reptans","rf",1
"bio10_1610","bio10_16",0.2293,0.0816,"Ajuga_reptans","rf",1
"bio12_1610","bio12_16",0.0838,0.0252,"Ajuga_reptans","rf",1
"Forest_Type10","Forest_Type",0.015,0.0072,"Ajuga_reptans","rf",1
"Forest_Productivity10","Forest_Productivity",0.0684,0.0512,"Ajuga_reptans","rf",1
"SoilpH10","SoilpH",0.0703,0.0262,"Ajuga_reptans","rf",1
"roe_deer201511","roe_deer2015",0.0724,0.0232,"Ajuga_reptans","rf",2
"red_deer201511","red_deer2015",0.0743,0.0276,"Ajuga_reptans","rf",2
"moose201511","moose2015",0.09,0.029,"Ajuga_reptans","rf",2
"bio10_1611","bio10_16",0.1847,0.0714,"Ajuga_reptans","rf",2
"bio12_1611","bio12_16",0.0483,0.0428,"Ajuga_reptans","rf",2
"Forest_Type11","Forest_Type",0.0129,0.0038,"Ajuga_reptans","rf",2
"Forest_Productivity11","Forest_Productivity",0.0683,0.0216,"Ajuga_reptans","rf",2
"SoilpH11","SoilpH",0.026,0.0174,"Ajuga_reptans","rf",2
"roe_deer201512","roe_deer2015",0.1529,0.0792,"Ajuga_reptans","rf",3
"red_deer201512","red_deer2015",0.105,0.0114,"Ajuga_reptans","rf",3
"moose201512","moose2015",0.1157,0.0322,"Ajuga_reptans","rf",3
"bio10_1612","bio10_16",0.1991,0.0918,"Ajuga_reptans","rf",3
"bio12_1612","bio12_16",0.0372,0.0572,"Ajuga_reptans","rf",3
"Forest_Type12","Forest_Type",0.0054,0.0206,"Ajuga_reptans","rf",3
"Forest_Productivity12","Forest_Productivity",0.0305,0.1326,"Ajuga_reptans","rf",3
"SoilpH12","SoilpH",0.0244,0.0028,"Ajuga_reptans","rf",3
"roe_deer201513","roe_deer2015",0.0931,0.0632,"Ajuga_reptans","rf",4
"red_deer201513","red_deer2015",0.0877,0.0038,"Ajuga_reptans","rf",4
"moose201513","moose2015",0.1411,0.0706,"Ajuga_reptans","rf",4
"bio10_1613","bio10_16",0.1519,0.0524,"Ajuga_reptans","rf",4
"bio12_1613","bio12_16",0.0287,0.0046,"Ajuga_reptans","rf",4
"Forest_Type13","Forest_Type",0.0086,0.013,"Ajuga_reptans","rf",4
"Forest_Productivity13","Forest_Productivity",0.0278,0.0754,"Ajuga_reptans","rf",4
"SoilpH13","SoilpH",0.0249,0.0094,"Ajuga_reptans","rf",4
