"","variables","corTest","AUCtest","species","method","repid"
"moose2015798","moose2015",0.2293,0.1382,"Opegrapha_vermicellifera","brt",4
"bio10_16798","bio10_16",3e-04,0,"Opegrapha_vermicellifera","brt",4
"bio12_16798","bio12_16",0.0474,0.0092,"Opegrapha_vermicellifera","brt",4
"Forest_Type798","Forest_Type",0,0,"Opegrapha_vermicellifera","brt",4
"Forest_Productivity798","Forest_Productivity",0.0012,0,"Opegrapha_vermicellifera","brt",4
"SoilpH798","SoilpH",6e-04,0,"Opegrapha_vermicellifera","brt",4
"roe_deer2015799","roe_deer2015",0,0,"Opegrapha_vermicellifera","brt",5
"red_deer2015799","red_deer2015",0.0284,0.1876,"Opegrapha_vermicellifera","brt",5
"moose2015799","moose2015",0.7204,0.1666,"Opegrapha_vermicellifera","brt",5
"bio10_16799","bio10_16",7e-04,0.001,"Opegrapha_vermicellifera","brt",5
"bio12_16799","bio12_16",0.0309,0.021,"Opegrapha_vermicellifera","brt",5
"Forest_Type799","Forest_Type",0,0,"Opegrapha_vermicellifera","brt",5
"Forest_Productivity799","Forest_Productivity",0,0,"Opegrapha_vermicellifera","brt",5
"SoilpH799","SoilpH",0,0,"Opegrapha_vermicellifera","brt",5
"roe_deer2015800","roe_deer2015",0.0322,0.013,"Opegrapha_vermicellifera","mda",1
"red_deer2015800","red_deer2015",0.6981,0.0096,"Opegrapha_vermicellifera","mda",1
"moose2015800","moose2015",0.044,0.0022,"Opegrapha_vermicellifera","mda",1
"bio10_16800","bio10_16",0.155,0.072,"Opegrapha_vermicellifera","mda",1
"bio12_16800","bio12_16",0.2529,0.0708,"Opegrapha_vermicellifera","mda",1
"Forest_Type800","Forest_Type",0.0674,0.007,"Opegrapha_vermicellifera","mda",1
"Forest_Productivity800","Forest_Productivity",0.142,0.0446,"Opegrapha_vermicellifera","mda",1
"SoilpH800","SoilpH",0.0181,0.0104,"Opegrapha_vermicellifera","mda",1
"roe_deer2015801","roe_deer2015",0.0225,0.0082,"Opegrapha_vermicellifera","mda",2
"red_deer2015801","red_deer2015",0.5131,0.1082,"Opegrapha_vermicellifera","mda",2
"moose2015801","moose2015",0.0205,0.0048,"Opegrapha_vermicellifera","mda",2
"bio10_16801","bio10_16",0.0452,0.0118,"Opegrapha_vermicellifera","mda",2
"bio12_16801","bio12_16",0.2477,0.1118,"Opegrapha_vermicellifera","mda",2
"Forest_Type801","Forest_Type",0.0636,0.0028,"Opegrapha_vermicellifera","mda",2
"Forest_Productivity801","Forest_Productivity",0.1587,0.0538,"Opegrapha_vermicellifera","mda",2
"SoilpH801","SoilpH",0.0385,0.0192,"Opegrapha_vermicellifera","mda",2
"roe_deer2015802","roe_deer2015",0.0177,0.017,"Opegrapha_vermicellifera","mda",3
"red_deer2015802","red_deer2015",0.5403,0.011,"Opegrapha_vermicellifera","mda",3
"moose2015802","moose2015",0.0866,0.0198,"Opegrapha_vermicellifera","mda",3
"bio10_16802","bio10_16",0.1436,0.0248,"Opegrapha_vermicellifera","mda",3
"bio12_16802","bio12_16",0.3021,0.0578,"Opegrapha_vermicellifera","mda",3
"Forest_Type802","Forest_Type",0.117,0.0458,"Opegrapha_vermicellifera","mda",3
"Forest_Productivity802","Forest_Productivity",0.1344,0.0448,"Opegrapha_vermicellifera","mda",3
"SoilpH802","SoilpH",0.0343,0.002,"Opegrapha_vermicellifera","mda",3
"roe_deer2015803","roe_deer2015",0.0121,0.0064,"Opegrapha_vermicellifera","mda",4
"red_deer2015803","red_deer2015",0.4811,0.0958,"Opegrapha_vermicellifera","mda",4
"moose2015803","moose2015",0.0397,0.0242,"Opegrapha_vermicellifera","mda",4
"bio10_16803","bio10_16",0.1063,0.0364,"Opegrapha_vermicellifera","mda",4
"bio12_16803","bio12_16",0.3192,0.1002,"Opegrapha_vermicellifera","mda",4
"Forest_Type803","Forest_Type",0.0876,0.0074,"Opegrapha_vermicellifera","mda",4
"Forest_Productivity803","Forest_Productivity",0.1102,0.0026,"Opegrapha_vermicellifera","mda",4
"SoilpH803","SoilpH",0.0579,0.0128,"Opegrapha_vermicellifera","mda",4
"roe_deer2015804","roe_deer2015",0.0323,0.0104,"Opegrapha_vermicellifera","mda",5
"red_deer2015804","red_deer2015",0.4086,0.2106,"Opegrapha_vermicellifera","mda",5
"moose2015804","moose2015",0.0407,0.0284,"Opegrapha_vermicellifera","mda",5
"bio10_16804","bio10_16",0.1333,0.031,"Opegrapha_vermicellifera","mda",5
"bio12_16804","bio12_16",0.4562,0.067,"Opegrapha_vermicellifera","mda",5
"Forest_Type804","Forest_Type",0.193,0.019,"Opegrapha_vermicellifera","mda",5
"Forest_Productivity804","Forest_Productivity",0.2154,0.0166,"Opegrapha_vermicellifera","mda",5
"SoilpH804","SoilpH",0.0414,4e-04,"Opegrapha_vermicellifera","mda",5
"roe_deer2015805","roe_deer2015",0.0273,0.0068,"Opegrapha_vermicellifera","fda",1
"red_deer2015805","red_deer2015",0.901,0.096,"Opegrapha_vermicellifera","fda",1
"moose2015805","moose2015",0.0303,0.0106,"Opegrapha_vermicellifera","fda",1
"bio10_16805","bio10_16",0.1243,0.0942,"Opegrapha_vermicellifera","fda",1
"bio12_16805","bio12_16",0.0108,0.0082,"Opegrapha_vermicellifera","fda",1
"Forest_Type805","Forest_Type",0.0339,0.0076,"Opegrapha_vermicellifera","fda",1
"Forest_Productivity805","Forest_Productivity",0.0217,0.0202,"Opegrapha_vermicellifera","fda",1
"SoilpH805","SoilpH",2e-04,6e-04,"Opegrapha_vermicellifera","fda",1
"roe_deer2015806","roe_deer2015",0.0188,0.049,"Opegrapha_vermicellifera","fda",2
"red_deer2015806","red_deer2015",0.6498,0.1846,"Opegrapha_vermicellifera","fda",2
"moose2015806","moose2015",0.0175,0.0842,"Opegrapha_vermicellifera","fda",2
"bio10_16806","bio10_16",0.0214,0.021,"Opegrapha_vermicellifera","fda",2
"bio12_16806","bio12_16",0.0794,0.0472,"Opegrapha_vermicellifera","fda",2
"Forest_Type806","Forest_Type",0.077,0.0266,"Opegrapha_vermicellifera","fda",2
"Forest_Productivity806","Forest_Productivity",0.0524,0.0188,"Opegrapha_vermicellifera","fda",2
"SoilpH806","SoilpH",0.011,0,"Opegrapha_vermicellifera","fda",2
"roe_deer2015807","roe_deer2015",0.0227,0.0078,"Opegrapha_vermicellifera","fda",3
"red_deer2015807","red_deer2015",0.5655,0.1012,"Opegrapha_vermicellifera","fda",3
"moose2015807","moose2015",0.054,0.025,"Opegrapha_vermicellifera","fda",3
"bio10_16807","bio10_16",0.123,0.0344,"Opegrapha_vermicellifera","fda",3
"bio12_16807","bio12_16",0.0274,0.0218,"Opegrapha_vermicellifera","fda",3
"Forest_Type807","Forest_Type",0.014,0.0248,"Opegrapha_vermicellifera","fda",3
"Forest_Productivity807","Forest_Productivity",0.0941,0.0086,"Opegrapha_vermicellifera","fda",3
"SoilpH807","SoilpH",0.0021,0.0036,"Opegrapha_vermicellifera","fda",3
"roe_deer2015808","roe_deer2015",0.0234,0.0112,"Opegrapha_vermicellifera","fda",4
"red_deer2015808","red_deer2015",0.5913,0.1582,"Opegrapha_vermicellifera","fda",4
"moose2015808","moose2015",0.0175,0.0408,"Opegrapha_vermicellifera","fda",4
"bio10_16808","bio10_16",0.0223,0.0308,"Opegrapha_vermicellifera","fda",4
"bio12_16808","bio12_16",0.0725,0.0096,"Opegrapha_vermicellifera","fda",4
"Forest_Type808","Forest_Type",0.0033,0.0224,"Opegrapha_vermicellifera","fda",4
"Forest_Productivity808","Forest_Productivity",0.1182,6e-04,"Opegrapha_vermicellifera","fda",4
"SoilpH808","SoilpH",0.0017,0.0066,"Opegrapha_vermicellifera","fda",4
"roe_deer2015809","roe_deer2015",0.0211,0.0126,"Opegrapha_vermicellifera","fda",5
"red_deer2015809","red_deer2015",0.0861,0.0616,"Opegrapha_vermicellifera","fda",5
"moose2015809","moose2015",0.0454,0.084,"Opegrapha_vermicellifera","fda",5
"bio10_16809","bio10_16",0.1266,0.0984,"Opegrapha_vermicellifera","fda",5
"bio12_16809","bio12_16",0.2715,0.0564,"Opegrapha_vermicellifera","fda",5
"Forest_Type809","Forest_Type",0.0905,0.0094,"Opegrapha_vermicellifera","fda",5
"Forest_Productivity809","Forest_Productivity",0.0622,0.1194,"Opegrapha_vermicellifera","fda",5
"SoilpH809","SoilpH",0.0303,0,"Opegrapha_vermicellifera","fda",5
"roe_deer2015810","roe_deer2015",0.0069,0,"Ophrys_insectifera","glm",1
"red_deer2015810","red_deer2015",0.0698,0.0644,"Ophrys_insectifera","glm",1
"moose2015810","moose2015",0.0378,0.0086,"Ophrys_insectifera","glm",1
"bio10_16810","bio10_16",0.6712,0.3908,"Ophrys_insectifera","glm",1
"bio12_16810","bio12_16",0.1326,0.0058,"Ophrys_insectifera","glm",1
"Forest_Type810","Forest_Type",0.1125,0.0684,"Ophrys_insectifera","glm",1
"Forest_Productivity810","Forest_Productivity",0.3609,0.2106,"Ophrys_insectifera","glm",1
"SoilpH810","SoilpH",0.7418,0.2192,"Ophrys_insectifera","glm",1
"roe_deer2015811","roe_deer2015",0.0036,0.0016,"Ophrys_insectifera","glm",2
"red_deer2015811","red_deer2015",0.1634,0.1272,"Ophrys_insectifera","glm",2
"moose2015811","moose2015",0.1477,0.0028,"Ophrys_insectifera","glm",2
"bio10_16811","bio10_16",0.8721,0.6692,"Ophrys_insectifera","glm",2
"bio12_16811","bio12_16",0.0313,0.0106,"Ophrys_insectifera","glm",2
"Forest_Type811","Forest_Type",0.0444,0.0766,"Ophrys_insectifera","glm",2
"Forest_Productivity811","Forest_Productivity",0.3393,0.0322,"Ophrys_insectifera","glm",2
"SoilpH811","SoilpH",0.706,0.5394,"Ophrys_insectifera","glm",2
"roe_deer2015812","roe_deer2015",2e-04,0.0022,"Ophrys_insectifera","glm",3
"red_deer2015812","red_deer2015",0.0424,0.1366,"Ophrys_insectifera","glm",3
"moose2015812","moose2015",6e-04,0.0112,"Ophrys_insectifera","glm",3
"bio10_16812","bio10_16",0.7502,0.4008,"Ophrys_insectifera","glm",3
"bio12_16812","bio12_16",8e-04,0.0054,"Ophrys_insectifera","glm",3
"Forest_Type812","Forest_Type",0.0563,0.046,"Ophrys_insectifera","glm",3
"Forest_Productivity812","Forest_Productivity",0.0584,0.0448,"Ophrys_insectifera","glm",3
"SoilpH812","SoilpH",0.7558,0.263,"Ophrys_insectifera","glm",3
"roe_deer2015813","roe_deer2015",0.0014,2e-04,"Ophrys_insectifera","glm",4
"red_deer2015813","red_deer2015",0.0642,0.1086,"Ophrys_insectifera","glm",4
"moose2015813","moose2015",0.0137,0.0078,"Ophrys_insectifera","glm",4
"bio10_16813","bio10_16",0.7784,0.4028,"Ophrys_insectifera","glm",4
"bio12_16813","bio12_16",0.0159,0.0024,"Ophrys_insectifera","glm",4
"Forest_Type813","Forest_Type",0.0594,0.0042,"Ophrys_insectifera","glm",4
"Forest_Productivity813","Forest_Productivity",0.1208,0.0112,"Ophrys_insectifera","glm",4
"SoilpH813","SoilpH",0.5199,0.2414,"Ophrys_insectifera","glm",4
"roe_deer2015814","roe_deer2015",7e-04,0,"Ophrys_insectifera","glm",5
"red_deer2015814","red_deer2015",0.1408,0.1628,"Ophrys_insectifera","glm",5
"moose2015814","moose2015",0.1646,0.0092,"Ophrys_insectifera","glm",5
"bio10_16814","bio10_16",0.7211,0.3704,"Ophrys_insectifera","glm",5
"bio12_16814","bio12_16",0.0044,0.0024,"Ophrys_insectifera","glm",5
"Forest_Type814","Forest_Type",0.1665,0.0568,"Ophrys_insectifera","glm",5
"Forest_Productivity814","Forest_Productivity",0.1067,0.0322,"Ophrys_insectifera","glm",5
"SoilpH814","SoilpH",0.7091,0.3162,"Ophrys_insectifera","glm",5
"roe_deer2015815","roe_deer2015",0.2725,0.2486,"Ophrys_insectifera","gam",1
"red_deer2015815","red_deer2015",0.1624,0.0082,"Ophrys_insectifera","gam",1
"moose2015815","moose2015",0.7966,0.702,"Ophrys_insectifera","gam",1
"bio10_16815","bio10_16",0.8155,0.6926,"Ophrys_insectifera","gam",1
"bio12_16815","bio12_16",0.7635,0.5496,"Ophrys_insectifera","gam",1
"Forest_Type815","Forest_Type",0.448,0.098,"Ophrys_insectifera","gam",1
"Forest_Productivity815","Forest_Productivity",0.2732,0.2202,"Ophrys_insectifera","gam",1
"SoilpH815","SoilpH",0.6133,0.3666,"Ophrys_insectifera","gam",1
"roe_deer2015816","roe_deer2015",0.9222,0.4386,"Ophrys_insectifera","gam",2
"red_deer2015816","red_deer2015",0.5128,0.1542,"Ophrys_insectifera","gam",2
"moose2015816","moose2015",0.6133,0.2036,"Ophrys_insectifera","gam",2
"bio10_16816","bio10_16",0.8812,0.501,"Ophrys_insectifera","gam",2
"bio12_16816","bio12_16",0.366,0.3888,"Ophrys_insectifera","gam",2
"Forest_Type816","Forest_Type",0.2418,0.2664,"Ophrys_insectifera","gam",2
"Forest_Productivity816","Forest_Productivity",0.2561,0.0536,"Ophrys_insectifera","gam",2
"SoilpH816","SoilpH",0.5017,0.3584,"Ophrys_insectifera","gam",2
"roe_deer2015817","roe_deer2015",0.2823,0.3186,"Ophrys_insectifera","gam",3
"red_deer2015817","red_deer2015",0.2934,0.2026,"Ophrys_insectifera","gam",3
"moose2015817","moose2015",0.563,0.4166,"Ophrys_insectifera","gam",3
"bio10_16817","bio10_16",0.7743,0.4544,"Ophrys_insectifera","gam",3
"bio12_16817","bio12_16",0.4242,0.4964,"Ophrys_insectifera","gam",3
"Forest_Type817","Forest_Type",0.3025,0.032,"Ophrys_insectifera","gam",3
"Forest_Productivity817","Forest_Productivity",0.3593,0.1532,"Ophrys_insectifera","gam",3
"SoilpH817","SoilpH",0.9487,0.523,"Ophrys_insectifera","gam",3
"roe_deer2015818","roe_deer2015",0.3061,0.0326,"Ophrys_insectifera","gam",4
"red_deer2015818","red_deer2015",0.3452,0.1498,"Ophrys_insectifera","gam",4
"moose2015818","moose2015",0.3262,0.2236,"Ophrys_insectifera","gam",4
"bio10_16818","bio10_16",0.7172,0.3342,"Ophrys_insectifera","gam",4
"bio12_16818","bio12_16",0.1531,0.0236,"Ophrys_insectifera","gam",4
"Forest_Type818","Forest_Type",0.3738,0.213,"Ophrys_insectifera","gam",4
"Forest_Productivity818","Forest_Productivity",0.3716,0.0116,"Ophrys_insectifera","gam",4
"SoilpH818","SoilpH",0.5543,0.1818,"Ophrys_insectifera","gam",4
"roe_deer2015819","roe_deer2015",0.0929,0.0098,"Ophrys_insectifera","gam",5
"red_deer2015819","red_deer2015",0.1974,0.2214,"Ophrys_insectifera","gam",5
"moose2015819","moose2015",0.7246,0.4628,"Ophrys_insectifera","gam",5
"bio10_16819","bio10_16",0.6171,0.6866,"Ophrys_insectifera","gam",5
"bio12_16819","bio12_16",0.7249,0.8334,"Ophrys_insectifera","gam",5
"Forest_Type819","Forest_Type",0.2983,0.0338,"Ophrys_insectifera","gam",5
"Forest_Productivity819","Forest_Productivity",0.1712,2e-04,"Ophrys_insectifera","gam",5
"SoilpH819","SoilpH",0.485,0.3848,"Ophrys_insectifera","gam",5
"roe_deer2015820","roe_deer2015",0.1129,0.0762,"Ophrys_insectifera","rf",1
"red_deer2015820","red_deer2015",0.0341,0.0228,"Ophrys_insectifera","rf",1
"moose2015820","moose2015",0.0679,0.032,"Ophrys_insectifera","rf",1
"bio10_16820","bio10_16",0.3556,0.0928,"Ophrys_insectifera","rf",1
"bio12_16820","bio12_16",0.051,0.0704,"Ophrys_insectifera","rf",1
"Forest_Type820","Forest_Type",0.0044,0.0094,"Ophrys_insectifera","rf",1
"Forest_Productivity820","Forest_Productivity",0.0406,0.0028,"Ophrys_insectifera","rf",1
"SoilpH820","SoilpH",0.4351,0.1252,"Ophrys_insectifera","rf",1
"roe_deer2015821","roe_deer2015",0.1491,0.0196,"Ophrys_insectifera","rf",2
"red_deer2015821","red_deer2015",0.0222,0.0196,"Ophrys_insectifera","rf",2
"moose2015821","moose2015",0.0743,0.0366,"Ophrys_insectifera","rf",2
"bio10_16821","bio10_16",0.3295,0.0456,"Ophrys_insectifera","rf",2
"bio12_16821","bio12_16",0.0442,0.0504,"Ophrys_insectifera","rf",2
"Forest_Type821","Forest_Type",0.001,0.0054,"Ophrys_insectifera","rf",2
"Forest_Productivity821","Forest_Productivity",0.0221,0.0074,"Ophrys_insectifera","rf",2
"SoilpH821","SoilpH",0.291,0.1218,"Ophrys_insectifera","rf",2
"roe_deer2015822","roe_deer2015",0.0653,0.0656,"Ophrys_insectifera","rf",3
"red_deer2015822","red_deer2015",0.0413,0.01,"Ophrys_insectifera","rf",3
"moose2015822","moose2015",0.0569,0.0416,"Ophrys_insectifera","rf",3
"bio10_16822","bio10_16",0.1527,0.0436,"Ophrys_insectifera","rf",3
"bio12_16822","bio12_16",0.0639,0.0198,"Ophrys_insectifera","rf",3
"Forest_Type822","Forest_Type",0.0055,0.0012,"Ophrys_insectifera","rf",3
"Forest_Productivity822","Forest_Productivity",0.033,0.0012,"Ophrys_insectifera","rf",3
"SoilpH822","SoilpH",0.5317,0.0726,"Ophrys_insectifera","rf",3
"roe_deer2015823","roe_deer2015",0.1295,0.0084,"Ophrys_insectifera","rf",4
"red_deer2015823","red_deer2015",0.0129,0.0036,"Ophrys_insectifera","rf",4
"moose2015823","moose2015",0.033,0.0218,"Ophrys_insectifera","rf",4
"bio10_16823","bio10_16",0.336,0.1122,"Ophrys_insectifera","rf",4
"bio12_16823","bio12_16",0.0302,0.0032,"Ophrys_insectifera","rf",4
"Forest_Type823","Forest_Type",0.0021,0.0052,"Ophrys_insectifera","rf",4
"Forest_Productivity823","Forest_Productivity",0.017,0.0046,"Ophrys_insectifera","rf",4
"SoilpH823","SoilpH",0.1809,0.1912,"Ophrys_insectifera","rf",4
"roe_deer2015824","roe_deer2015",0.1319,0.0144,"Ophrys_insectifera","rf",5
"red_deer2015824","red_deer2015",0.0172,0.0152,"Ophrys_insectifera","rf",5
"moose2015824","moose2015",0.0852,0.0188,"Ophrys_insectifera","rf",5
"bio10_16824","bio10_16",0.1051,0.0468,"Ophrys_insectifera","rf",5
"bio12_16824","bio12_16",0.046,0.0152,"Ophrys_insectifera","rf",5
"Forest_Type824","Forest_Type",0.0075,0,"Ophrys_insectifera","rf",5
"Forest_Productivity824","Forest_Productivity",0.0408,0.0026,"Ophrys_insectifera","rf",5
"SoilpH824","SoilpH",0.4281,0.1182,"Ophrys_insectifera","rf",5
"roe_deer2015825","roe_deer2015",0.1017,0.1182,"Ophrys_insectifera","brt",1
"red_deer2015825","red_deer2015",0,0,"Ophrys_insectifera","brt",1
"moose2015825","moose2015",0.028,0.0072,"Ophrys_insectifera","brt",1
"bio10_16825","bio10_16",0.3158,0.1596,"Ophrys_insectifera","brt",1
"bio12_16825","bio12_16",0,0,"Ophrys_insectifera","brt",1
"Forest_Type825","Forest_Type",0,0,"Ophrys_insectifera","brt",1
"Forest_Productivity825","Forest_Productivity",9e-04,0,"Ophrys_insectifera","brt",1
"SoilpH825","SoilpH",0.577,0.337,"Ophrys_insectifera","brt",1
"roe_deer2015826","roe_deer2015",0.0731,0.0212,"Ophrys_insectifera","brt",2
"red_deer2015826","red_deer2015",0,0,"Ophrys_insectifera","brt",2
"moose2015826","moose2015",0.0493,4e-04,"Ophrys_insectifera","brt",2
"bio10_16826","bio10_16",0.4068,0.1576,"Ophrys_insectifera","brt",2
"bio12_16826","bio12_16",0,0,"Ophrys_insectifera","brt",2
"Forest_Type826","Forest_Type",0,0,"Ophrys_insectifera","brt",2
"Forest_Productivity826","Forest_Productivity",1e-04,0.0038,"Ophrys_insectifera","brt",2
"SoilpH826","SoilpH",0.4471,0.3808,"Ophrys_insectifera","brt",2
"roe_deer2015827","roe_deer2015",0.0527,0.075,"Ophrys_insectifera","brt",3
"red_deer2015827","red_deer2015",0,0,"Ophrys_insectifera","brt",3
"moose2015827","moose2015",0,0,"Ophrys_insectifera","brt",3
"bio10_16827","bio10_16",0.3232,0.0386,"Ophrys_insectifera","brt",3
"bio12_16827","bio12_16",0,0,"Ophrys_insectifera","brt",3
"Forest_Type827","Forest_Type",0,0,"Ophrys_insectifera","brt",3
"Forest_Productivity827","Forest_Productivity",1e-04,0.0024,"Ophrys_insectifera","brt",3
"SoilpH827","SoilpH",0.5219,0.1662,"Ophrys_insectifera","brt",3
"roe_deer2015828","roe_deer2015",0.1055,0.053,"Ophrys_insectifera","brt",4
"red_deer2015828","red_deer2015",0,0,"Ophrys_insectifera","brt",4
"moose2015828","moose2015",0.0028,0,"Ophrys_insectifera","brt",4
"bio10_16828","bio10_16",0.4557,0.2174,"Ophrys_insectifera","brt",4
"bio12_16828","bio12_16",0,0,"Ophrys_insectifera","brt",4
"Forest_Type828","Forest_Type",0,0,"Ophrys_insectifera","brt",4
"Forest_Productivity828","Forest_Productivity",0,0.0154,"Ophrys_insectifera","brt",4
"SoilpH828","SoilpH",0.4547,0.2426,"Ophrys_insectifera","brt",4
"roe_deer2015829","roe_deer2015",0.0406,0.0224,"Ophrys_insectifera","brt",5
"red_deer2015829","red_deer2015",0,0,"Ophrys_insectifera","brt",5
"moose2015829","moose2015",0.002,0.0026,"Ophrys_insectifera","brt",5
"bio10_16829","bio10_16",0.3205,0.0128,"Ophrys_insectifera","brt",5
"bio12_16829","bio12_16",0,0,"Ophrys_insectifera","brt",5
"Forest_Type829","Forest_Type",0,0,"Ophrys_insectifera","brt",5
"Forest_Productivity829","Forest_Productivity",1e-04,0.0108,"Ophrys_insectifera","brt",5
"SoilpH829","SoilpH",0.5227,0.4958,"Ophrys_insectifera","brt",5
"roe_deer2015830","roe_deer2015",0.3819,0.0764,"Ophrys_insectifera","mda",1
"red_deer2015830","red_deer2015",0.0016,0.0016,"Ophrys_insectifera","mda",1
"moose2015830","moose2015",0.1886,0.0552,"Ophrys_insectifera","mda",1
"bio10_16830","bio10_16",0.3015,0.4006,"Ophrys_insectifera","mda",1
"bio12_16830","bio12_16",0.1231,0.0988,"Ophrys_insectifera","mda",1
"Forest_Type830","Forest_Type",0.0849,0.0144,"Ophrys_insectifera","mda",1
"Forest_Productivity830","Forest_Productivity",0.0713,0.0102,"Ophrys_insectifera","mda",1
"SoilpH830","SoilpH",0.5263,0.3386,"Ophrys_insectifera","mda",1
"roe_deer2015831","roe_deer2015",0.692,0.0474,"Ophrys_insectifera","mda",2
"red_deer2015831","red_deer2015",0.0013,0.0028,"Ophrys_insectifera","mda",2
"moose2015831","moose2015",0.2158,0.0342,"Ophrys_insectifera","mda",2
"bio10_16831","bio10_16",0.2969,0.2632,"Ophrys_insectifera","mda",2
"bio12_16831","bio12_16",0.106,0.1468,"Ophrys_insectifera","mda",2
"Forest_Type831","Forest_Type",0.0272,0.0168,"Ophrys_insectifera","mda",2
"Forest_Productivity831","Forest_Productivity",0.0371,0.028,"Ophrys_insectifera","mda",2
"SoilpH831","SoilpH",0.3431,0.3362,"Ophrys_insectifera","mda",2
"roe_deer2015832","roe_deer2015",0.4194,0,"Ophrys_insectifera","mda",3
"red_deer2015832","red_deer2015",0.0016,2e-04,"Ophrys_insectifera","mda",3
"moose2015832","moose2015",0.0859,0.1248,"Ophrys_insectifera","mda",3
"bio10_16832","bio10_16",0.3526,0.3114,"Ophrys_insectifera","mda",3
"bio12_16832","bio12_16",0.0694,0.071,"Ophrys_insectifera","mda",3
"Forest_Type832","Forest_Type",0.0393,0,"Ophrys_insectifera","mda",3
"Forest_Productivity832","Forest_Productivity",0.0452,0.0092,"Ophrys_insectifera","mda",3
"SoilpH832","SoilpH",0.4486,0.126,"Ophrys_insectifera","mda",3
"roe_deer2015833","roe_deer2015",0.3934,0.0316,"Ophrys_insectifera","mda",4
"red_deer2015833","red_deer2015",0.0045,0.0086,"Ophrys_insectifera","mda",4
"moose2015833","moose2015",0.0718,0.0038,"Ophrys_insectifera","mda",4
"bio10_16833","bio10_16",0.3689,0.2416,"Ophrys_insectifera","mda",4
"bio12_16833","bio12_16",0.1734,0.0998,"Ophrys_insectifera","mda",4
"Forest_Type833","Forest_Type",0.0842,0.0072,"Ophrys_insectifera","mda",4
"Forest_Productivity833","Forest_Productivity",0.1434,0.0112,"Ophrys_insectifera","mda",4
"SoilpH833","SoilpH",0.402,0.2154,"Ophrys_insectifera","mda",4
"roe_deer2015834","roe_deer2015",0.0758,0.0214,"Ophrys_insectifera","mda",5
"red_deer2015834","red_deer2015",0.0024,4e-04,"Ophrys_insectifera","mda",5
"moose2015834","moose2015",0.3288,0.0926,"Ophrys_insectifera","mda",5
"bio10_16834","bio10_16",0.3115,0.219,"Ophrys_insectifera","mda",5
"bio12_16834","bio12_16",0.1636,0.1498,"Ophrys_insectifera","mda",5
"Forest_Type834","Forest_Type",0.0773,8e-04,"Ophrys_insectifera","mda",5
"Forest_Productivity834","Forest_Productivity",0.0859,0.04,"Ophrys_insectifera","mda",5
"SoilpH834","SoilpH",0.7472,0.393,"Ophrys_insectifera","mda",5
"roe_deer2015835","roe_deer2015",0.0618,0.0676,"Ophrys_insectifera","fda",1
"red_deer2015835","red_deer2015",0.0061,0.0012,"Ophrys_insectifera","fda",1
"moose2015835","moose2015",0.057,0.0216,"Ophrys_insectifera","fda",1
"bio10_16835","bio10_16",0.5219,0.5864,"Ophrys_insectifera","fda",1
"bio12_16835","bio12_16",0,0,"Ophrys_insectifera","fda",1
"Forest_Type835","Forest_Type",0.0546,0.0232,"Ophrys_insectifera","fda",1
"Forest_Productivity835","Forest_Productivity",0.0553,0.0036,"Ophrys_insectifera","fda",1
"SoilpH835","SoilpH",0.8741,0.4324,"Ophrys_insectifera","fda",1
"roe_deer2015836","roe_deer2015",0.0614,0.0258,"Ophrys_insectifera","fda",2
"red_deer2015836","red_deer2015",0.0053,0.0052,"Ophrys_insectifera","fda",2
"moose2015836","moose2015",0.1462,0.0196,"Ophrys_insectifera","fda",2
"bio10_16836","bio10_16",0.815,0.4796,"Ophrys_insectifera","fda",2
"bio12_16836","bio12_16",8e-04,0,"Ophrys_insectifera","fda",2
"Forest_Type836","Forest_Type",0.0263,0.0184,"Ophrys_insectifera","fda",2
"Forest_Productivity836","Forest_Productivity",0.1059,0.0248,"Ophrys_insectifera","fda",2
"SoilpH836","SoilpH",0.8686,0.6078,"Ophrys_insectifera","fda",2
"roe_deer2015837","roe_deer2015",0.0696,0.043,"Ophrys_insectifera","fda",3
"red_deer2015837","red_deer2015",0.0026,0.0052,"Ophrys_insectifera","fda",3
"moose2015837","moose2015",3e-04,0,"Ophrys_insectifera","fda",3
"bio10_16837","bio10_16",0.651,0.3942,"Ophrys_insectifera","fda",3
"bio12_16837","bio12_16",0.0014,0.0018,"Ophrys_insectifera","fda",3
"Forest_Type837","Forest_Type",0.0196,0.0074,"Ophrys_insectifera","fda",3
"Forest_Productivity837","Forest_Productivity",0.0193,0.056,"Ophrys_insectifera","fda",3
"SoilpH837","SoilpH",0.6934,0.3942,"Ophrys_insectifera","fda",3
"roe_deer2015838","roe_deer2015",0.077,0.0066,"Ophrys_insectifera","fda",4
"red_deer2015838","red_deer2015",0.0048,6e-04,"Ophrys_insectifera","fda",4
"moose2015838","moose2015",0.0327,0.019,"Ophrys_insectifera","fda",4
"bio10_16838","bio10_16",0.6399,0.3732,"Ophrys_insectifera","fda",4
"bio12_16838","bio12_16",2e-04,0,"Ophrys_insectifera","fda",4
"Forest_Type838","Forest_Type",0.0335,0.0018,"Ophrys_insectifera","fda",4
"Forest_Productivity838","Forest_Productivity",0.0142,0.006,"Ophrys_insectifera","fda",4
"SoilpH838","SoilpH",0.7512,0.3998,"Ophrys_insectifera","fda",4
"roe_deer2015839","roe_deer2015",0.0502,0.001,"Ophrys_insectifera","fda",5
"red_deer2015839","red_deer2015",3e-04,0.0038,"Ophrys_insectifera","fda",5
