"","bio10_16","bio12_16","Forest_Productivity","Forest_Type","moose2015","red_deer2015","roe_deer2015","SoilpH"
"Dactylorhiza_sambucina","0.104 +/- 0.003","0.285 +/- 0.006","0.102 +/- 0.003","0.169 +/- 0.006","0.14 +/- 0.004","0.122 +/- 0.004","0.076 +/- 0.003","0.167 +/- 0.004"
"Epipogium_aphyllum","0.048 +/- 0.002","0.503 +/- 0.008","0.131 +/- 0.003","0.162 +/- 0.007","0.091 +/- 0.005","0.054 +/- 0.002","0.077 +/- 0.003","0.167 +/- 0.005"
"Galium_sterneri","0.571 +/- 0.012","0.07 +/- 0.003","0.152 +/- 0.005","0.047 +/- 0.002","0.02 +/- 0.001","0.078 +/- 0.004","0.273 +/- 0.012","0.075 +/- 0.006"
"Gentianella_campestris","0.221 +/- 0.005","0.436 +/- 0.004","0.093 +/- 0.002","0.023 +/- 0.001","0.032 +/- 0.002","0.039 +/- 0.002","0.052 +/- 0.002","0.291 +/- 0.003"
"Gyalecta_flotowii","0.095 +/- 0.003","0.065 +/- 0.003","0.11 +/- 0.003","0.101 +/- 0.002","0.115 +/- 0.003","0.24 +/- 0.008","0.057 +/- 0.002","0.017 +/- 0.001"
"Gyalecta_truncigena","0.169 +/- 0.006","0.526 +/- 0.009","0.098 +/- 0.003","0.213 +/- 0.007","0.159 +/- 0.005","0.174 +/- 0.005","0.046 +/- 0.002","0.048 +/- 0.003"
"Gyalecta_ulmi","0.131 +/- 0.003","0.073 +/- 0.003","0.202 +/- 0.003","0.026 +/- 0.001","0.087 +/- 0.003","0.079 +/- 0.002","0.025 +/- 0.001","0.262 +/- 0.003"
"Hackelia_deflexa","0.03 +/- 0.001","0.161 +/- 0.003","0.082 +/- 0.002","0.019 +/- 0.001","0.038 +/- 0.002","0.043 +/- 0.002","0.018 +/- 0.001","0.714 +/- 0.007"
"Herbertus_stramineus","0.121 +/- 0.004","0.421 +/- 0.01","0.205 +/- 0.006","0.143 +/- 0.004","0.315 +/- 0.013","0.142 +/- 0.006","0.043 +/- 0.002","0.051 +/- 0.002"
"Heterodermia_speciosa","0.061 +/- 0.002","0.286 +/- 0.004","0.014 +/- 0.001","0.022 +/- 0.001","0.02 +/- 0.001","0.081 +/- 0.003","0.051 +/- 0.002","0.597 +/- 0.01"
"Lithospermum_officinale","0.284 +/- 0.005","0.039 +/- 0.002","0.066 +/- 0.002","0.083 +/- 0.002","0.11 +/- 0.006","0.03 +/- 0.002","0.066 +/- 0.003","0.548 +/- 0.007"
"Malus_sylvestris","0.473 +/- 0.006","0.218 +/- 0.005","0.024 +/- 0.001","0.022 +/- 0.001","0.056 +/- 0.001","0.028 +/- 0.001","0.157 +/- 0.003","0.03 +/- 0.001"
"Menegazzia_subsimilis","0.181 +/- 0.007","0.309 +/- 0.009","0.185 +/- 0.007","0.03 +/- 0.002","0.201 +/- 0.01","0.337 +/- 0.01","0.065 +/- 0.005","0.096 +/- 0.004"
"Menegazzia_terebrata","0.242 +/- 0.005","0.147 +/- 0.006","0.096 +/- 0.002","0.022 +/- 0.001","0.138 +/- 0.005","0.092 +/- 0.002","0.075 +/- 0.002","0.081 +/- 0.003"
"Opegrapha_vermicellifera","0.206 +/- 0.007","0.126 +/- 0.005","0.152 +/- 0.005","0.044 +/- 0.002","0.374 +/- 0.011","0.307 +/- 0.009","0.059 +/- 0.004","0.055 +/- 0.003"
"Ophrys_insectifera","0.514 +/- 0.008","0.116 +/- 0.007","0.106 +/- 0.004","0.088 +/- 0.004","0.166 +/- 0.007","0.072 +/- 0.004","0.171 +/- 0.007","0.582 +/- 0.006"
"Pectenia_cyanoloma","0.163 +/- 0.006","0.177 +/- 0.007","0.127 +/- 0.005","0.161 +/- 0.007","0.032 +/- 0.001","0.491 +/- 0.01","0.02 +/- 0.001","0.013 +/- 0.001"
"Phaeophyscia_kairamoi","0.537 +/- 0.01","0.256 +/- 0.007","0.14 +/- 0.005","0.062 +/- 0.003","0.182 +/- 0.006","0.086 +/- 0.006","0.3 +/- 0.009","0.371 +/- 0.009"
"Physconia_detersa","0.043 +/- 0.002","0.348 +/- 0.007","0.028 +/- 0.001","0.029 +/- 0.001","0.026 +/- 0.002","0.137 +/- 0.006","0.053 +/- 0.003","0.642 +/- 0.011"
"Pseudorchis_albida","0.266 +/- 0.005","0.068 +/- 0.003","0.061 +/- 0.001","0.201 +/- 0.006","0.019 +/- 0.001","0.063 +/- 0.002","0.042 +/- 0.001","0.086 +/- 0.002"
"Ramalina_dilacerata","0.111 +/- 0.005","0.539 +/- 0.009","0.257 +/- 0.007","0.124 +/- 0.005","0.176 +/- 0.008","0.132 +/- 0.004","0.094 +/- 0.004","0.539 +/- 0.01"
"Ramalina_sinensis","0.047 +/- 0.002","0.476 +/- 0.005","0.12 +/- 0.004","0.089 +/- 0.003","0.09 +/- 0.002","0.155 +/- 0.004","0.102 +/- 0.002","0.291 +/- 0.007"
"Ramboldia_subcinnabarina","0.168 +/- 0.006","0.71 +/- 0.008","0.051 +/- 0.001","0.026 +/- 0.001","0.053 +/- 0.002","0.147 +/- 0.005","0.085 +/- 0.005","0.137 +/- 0.003"
"Rinodina_disjuncta","0.055 +/- 0.004","0.788 +/- 0.005","0.063 +/- 0.002","0.12 +/- 0.004","0.337 +/- 0.006","0.094 +/- 0.003","0.076 +/- 0.003","0.054 +/- 0.004"
"Schismatomma_graphidioides","0.127 +/- 0.004","0.216 +/- 0.005","0.098 +/- 0.003","0.196 +/- 0.006","0.301 +/- 0.008","0.285 +/- 0.006","0.095 +/- 0.003","0.4 +/- 0.007"
"Scorzonera_humilis","0.497 +/- 0.008","0.065 +/- 0.003","0.012 +/- 0","0.04 +/- 0.002","0.155 +/- 0.005","0.168 +/- 0.007","0.236 +/- 0.008","0.02 +/- 0.001"
"Sorbus_lancifolia","0.161 +/- 0.008","0.726 +/- 0.012","0.117 +/- 0.005","0.266 +/- 0.011","0.029 +/- 0.002","0.101 +/- 0.004","0.218 +/- 0.011","0.095 +/- 0.005"
"Sorbus_subpinnata","0.664 +/- 0.01","0.094 +/- 0.003","0.404 +/- 0.01","0.059 +/- 0.002","0.062 +/- 0.003","0.029 +/- 0.002","0.114 +/- 0.006","0.165 +/- 0.007"
"Staurolemma_omphalarioides","0.104 +/- 0.008","0.343 +/- 0.009","0.121 +/- 0.003","0.035 +/- 0.002","0.093 +/- 0.007","0.329 +/- 0.008","0.138 +/- 0.006","0.214 +/- 0.007"
"Taxus_baccata","0.375 +/- 0.006","0.105 +/- 0.003","0.029 +/- 0.001","0.006 +/- 0","0.048 +/- 0.001","0.067 +/- 0.001","0.161 +/- 0.004","0.015 +/- 0.001"
"Thalictrum_minus","0.395 +/- 0.008","0.429 +/- 0.011","0.075 +/- 0.002","0.21 +/- 0.008","0.176 +/- 0.006","0.054 +/- 0.003","0.055 +/- 0.004","0.142 +/- 0.004"
"Thalictrum_simplex","0.042 +/- 0.002","0.316 +/- 0.003","0.018 +/- 0","0.07 +/- 0.003","0.052 +/- 0.003","0.035 +/- 0.002","0.031 +/- 0.001","0.523 +/- 0.008"
"Thelotrema_macrosporum","0.214 +/- 0.007","0.211 +/- 0.009","0.087 +/- 0.004","0.039 +/- 0.002","0.314 +/- 0.011","0.333 +/- 0.012","0.066 +/- 0.005","0.118 +/- 0.005"
"Ulmus_glabra","0.289 +/- 0.005","0.069 +/- 0.002","0.189 +/- 0.004","0.029 +/- 0.001","0.035 +/- 0.001","0.061 +/- 0.001","0.035 +/- 0.001","0.122 +/- 0.002"
"Vicia_cassubica","0.472 +/- 0.009","0.074 +/- 0.004","0.062 +/- 0.003","0.05 +/- 0.003","0.167 +/- 0.005","0.023 +/- 0.001","0.387 +/- 0.011","0.066 +/- 0.003"
