X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
173.0,173.0,train,8.747295804458353E-4,66.61191106385822,0.638408303632278
174.0,174.0,train,3.298439622618943E-4,41.932667804392224,0.39967182327587886
176.0,176.0,train,0.0014150595879176915,75.86705953315526,0.7406739801101473
177.0,177.0,train,0.003107067990856585,92.67207087588275,0.8624728588886053
178.0,178.0,train,4.1372065573894173E-4,50.6434712610598,0.45505628540822424
179.0,179.0,train,0.0013103679117580657,74.36083969633059,0.7256395848335211
180.0,180.0,train,0.001228309969879315,73.10112276928567,0.712578867417119
181.0,181.0,train,2.451617930995423E-4,32.63793965716233,0.3310291548625058
183.0,183.0,train,2.0033089455482103E-4,27.243687641333196,0.28792526370827304
184.0,184.0,train,1.3431840220978785E-4,13.790371370322243,0.21328457490556677
186.0,186.0,train,1.287572734397914E-4,12.812251806440441,0.20627556567157806
187.0,187.0,train,0.001236189174405416,73.27796032539132,0.7138866797028418
189.0,189.0,train,5.446396896093675E-4,57.77994839216303,0.5236503523672916
190.0,190.0,train,9.755777854032942E-4,68.14277315821012,0.6631978054484559
191.0,191.0,train,8.638557638557099E-4,66.2550181394637,0.6355157227178027
192.0,192.0,train,0.004604773241833197,95.48834231178193,0.9028584248875237
195.0,195.0,train,0.0032856779217598784,93.32701127135799,0.8689692691854045
196.0,196.0,train,0.009058733358390253,100.0,0.9481438250117397
197.0,197.0,train,2.1775919630055986E-4,29.555120722299005,0.30532601300423046
199.0,199.0,train,0.0021453902212772336,83.41475200313775,0.8123913955521037
200.0,200.0,train,0.0014771757407783764,76.30436211501576,0.7488399444727372
201.0,201.0,train,5.112126485933756E-4,55.504682251790044,0.5078326707739858
202.0,202.0,train,0.0018150632018221246,78.79257668344601,0.7855694853059441
203.0,203.0,train,0.005030898944256058,97.41578903886972,0.9103488266798928
205.0,205.0,train,4.986187619278851E-4,54.747717807649465,0.5015973446284968
206.0,206.0,train,3.741192240365277E-4,46.827165162288765,0.43023856722487425
207.0,207.0,train,0.001199673237406296,72.30121905377351,0.7077232700906877
208.0,208.0,train,0.0019419681336591591,79.558674759744,0.7967339084888777
6.0,6.0,test,1.509406155484632E-4,16.559823681742092,0.23351551894718228
10.0,10.0,test,9.40211590880592E-5,7.956641910483494,0.1595027462192711
15.0,15.0,test,5.326500369149576E-4,56.877022828469826,0.5180951483241851
22.0,22.0,test,2.786185314272473E-4,36.15491364173291,0.35994362787564493
26.0,26.0,test,0.005429055119019524,98.20321995534428,0.9163738379557621
29.0,29.0,test,0.004768607180114427,96.67086658913684,0.9058817787967539
38.0,38.0,test,5.113302968506746E-4,55.51118153151954,0.507890183846959
48.0,48.0,test,3.7952687100602684E-4,47.55566020350624,0.4337599096558586
54.0,54.0,test,9.037449134584583E-5,7.49864576582706,0.1542707174027696
78.0,78.0,test,2.3175143995206763E-4,31.289502785708244,0.31869251661158515
80.0,80.0,test,0.0013284636563191624,74.71158296174663,0.7283616297667451
84.0,84.0,test,5.774841679714102E-4,58.834508530180145,0.5382323813523308
85.0,85.0,test,7.411080455811068E-4,64.31655587129285,0.5993347563318923
90.0,90.0,test,7.10901093135565E-5,4.978269221819508,0.12548269942959836
93.0,93.0,test,1.581429742981095E-4,18.1243299249514,0.24196199126979806
94.0,94.0,test,5.677421015442484E-4,58.63435919119398,0.5340011608200005
96.0,96.0,test,5.00082957479569E-5,2.7339387610893207,0.09168241447522654
102.0,102.0,test,2.6766179809519663E-4,34.98381422284135,0.3507536364014803
104.0,104.0,test,4.094990035165318E-5,1.8572717045121678,0.07634310039290547
107.0,107.0,test,4.5094796287147097E-4,52.31120212927337,0.4764922319668032
108.0,108.0,test,0.0010263351233626486,68.74825262548539,0.6744314945551585
109.0,109.0,test,0.002392672910050856,85.61736301224813,0.8284545872290825
112.0,112.0,test,1.7655259458478843E-4,21.962229214883486,0.26272878068872946
118.0,118.0,test,1.740600864291548E-4,21.487369357741205,0.25998397719896504
119.0,119.0,test,3.6907128935233284E-4,46.30689726456056,0.4269117068254567
121.0,121.0,test,3.631683594050658E-4,45.65578394516589,0.4229717404596214
129.0,129.0,test,6.397678535082594E-4,61.081272049841786,0.5635673999205553
132.0,132.0,test,6.777250691432674E-4,62.06835577814872,0.5776879391125445
144.0,144.0,test,3.4902730178838683E-4,43.98472367871149,0.41330912777995366
145.0,145.0,test,9.075052166004238E-5,7.544327200433897,0.15481323418705156
155.0,155.0,test,2.2339216722438212E-4,30.29400801249205,0.31076965058997685
162.0,162.0,test,1.7211094929641817E-4,21.0067525698754,0.2578232640211041
166.0,166.0,test,0.001446752683300755,76.03120467279687,0.7449057082366526
175.0,175.0,test,7.787664472762643E-5,5.794760378847434,0.1358345899260818
182.0,182.0,test,0.0011926711957115786,72.13036983257751,0.7065109505676032
185.0,185.0,test,4.947818464109891E-4,54.61767119493406,0.49966613798865583
188.0,188.0,test,1.3793754816174517E-4,14.364389599973391,0.21777987833638757
193.0,193.0,test,1.716759105251723E-4,20.936343690751585,0.2573392788886352
194.0,194.0,test,1.0508231476864074E-4,9.486347779897315,0.1749839758582253
198.0,198.0,test,0.00824550697338266,99.76696236369699,0.9433193139865926
204.0,204.0,test,6.528589422316602E-4,61.45225485868511,0.568542901105021
